language,value
25-Jan,3
26-Jan,0
27-Jan,1
28-Jan,0
29-Jan,0
30-Jan,0
31-Jan,0
1-Feb,0
2-Feb,0
3-Feb,0
4-Feb,0
5-Feb,0
6-Feb,0
7-Feb,0
8-Feb,0
9-Feb,0
10-Feb,0
11-Feb,0
12-Feb,0
13-Feb,0
14-Feb,0
15-Feb,0
16-Feb,0
17-Feb,0
18-Feb,0
19-Feb,0
20-Feb,0
21-Feb,0
22-Feb,0
23-Feb,0
24-Feb,0
25-Feb,0
26-Feb,0
27-Feb,0
28-Feb,0
29-Feb,0
1-Mar,2
2-Mar,3
3-Mar,6
4-Mar,6
5-Mar,4
6-Mar,7
7-Mar,2
8-Mar,7
9-Mar,13
10-Mar,6
11-Mar,16
12-Mar,14
13-Mar,19
14-Mar,20
15-Mar,38
16-Mar,29
17-Mar,64
18-Mar,45
19-Mar,56
20-Mar,88
21-Mar,122
22-Mar,121
23-Mar,177
24-Mar,191
25-Mar,206
26-Mar,185
27-Mar,213
28-Mar,143
29-Mar,124
30-Mar,90
31-Mar,131
1-Apr,124
2-Apr,92
3-Apr,106
4-Apr,73
5-Apr,63
6-Apr,40
7-Apr,44
8-Apr,45
9-Apr,41
10-Apr,30
11-Apr,18
12-Apr,10
13-Apr,7
14-Apr,21
15-Apr,22
16-Apr,22
17-Apr,15
18-Apr,17
19-Apr,7
20-Apr,2
21-Apr,6
22-Apr,3
23-Apr,8
24-Apr,14
25-Apr,3
26-Apr,1
27-Apr,5
28-Apr,10
29-Apr,3
30-Apr,15
1-May,2
2-May,2
3-May,1
4-May,4
5-May,6
6-May,3
7-May,2
8-May,4
9-May,1
10-May,1
11-May,0
12-May,5
13-May,4
14-May,3
15-May,2
16-May,0
17-May,1
18-May,2
19-May,4
20-May,1
21-May,3
22-May,0
23-May,1
24-May,1
25-May,2
26-May,0
27-May,1
28-May,2
29-May,1
30-May,2
31-May,5
1-Jun,4
2-Jun,1
3-Jun,2
4-Jun,3
5-Jun,0
6-Jun,1
7-Jun,3
8-Jun,1
9-Jun,3
10-Jun,0
11-Jun,3
12-Jun,3
13-Jun,9
14-Jun,6
15-Jun,0
16-Jun,0
17-Jun,2
18-Jun,7
19-Jun,1
20-Jun,6
21-Jun,1
22-Jun,1
23-Jun,10
24-Jun,4
25-Jun,6
26-Jun,5
27-Jun,10
28-Jun,3
29-Jun,6
30-Jun,11
1-Jul,6
2-Jul,5
3-Jul,8
4-Jul,12
5-Jul,8
6-Jul,14
7-Jul,6
8-Jul,13
9-Jul,9
10-Jul,8
11-Jul,2
12-Jul,15
13-Jul,17
14-Jul,10
15-Jul,9
16-Jul,10
17-Jul,13
18-Jul,18
19-Jul,20
20-Jul,15
21-Jul,14
22-Jul,16
23-Jul,6
24-Jul,19
25-Jul,19
26-Jul,8
27-Jul,15
28-Jul,22
29-Jul,15
30-Jul,22
31-Jul,14
1-Aug,14
2-Aug,10
3-Aug,13
4-Aug,9
5-Aug,13
6-Aug,12
7-Aug,8
8-Aug,14
9-Aug,13
10-Aug,23
11-Aug,15
12-Aug,10
13-Aug,13
14-Aug,7
15-Aug,5
16-Aug,5
17-Aug,3
18-Aug,8
19-Aug,2
20-Aug,5
21-Aug,7
22-Aug,2
23-Aug,3
24-Aug,4
25-Aug,6
26-Aug,12
27-Aug,15
28-Aug,10
29-Aug,7
30-Aug,11
31-Aug,12
1-Sep,16
2-Sep,10
3-Sep,7
4-Sep,7
5-Sep,8
6-Sep,4
7-Sep,11
8-Sep,5
9-Sep,10
10-Sep,8
11-Sep,8
12-Sep,6
13-Sep,7
14-Sep,7
15-Sep,5
16-Sep,7
17-Sep,3
18-Sep,4
19-Sep,1
20-Sep,5
21-Sep,1
22-Sep,6
23-Sep,3
24-Sep,2
25-Sep,1
26-Sep,0
27-Sep,0
28-Sep,5
29-Sep,2
30-Sep,4
1-Oct,3
2-Oct,0
3-Oct,3
4-Oct,2
5-Oct,9
6-Oct,3
7-Oct,15
8-Oct,6
9-Oct,4
10-Oct,7
11-Oct,5
12-Oct,15
13-Oct,12
14-Oct,10
15-Oct,3
16-Oct,7
17-Oct,6
18-Oct,6
19-Oct,10
20-Oct,4
21-Oct,9
22-Oct,3
23-Oct,6
24-Oct,8
25-Oct,3
26-Oct,15
27-Oct,5
28-Oct,4
29-Oct,7
30-Oct,4
31-Oct,5
1-Nov,5
